Timestamp,Merchant Name,Device ,Wi-Fi Name (SSID),Static IP for Device,Anydesk ID,Printer IP,Windows Setup Checklist ,Sunmi Device Setup Checklist,Device Serial Number,Settings Checklist
11/20/2025 15:35:40,Kobe,Sunmi Device,Ethernet,192.168.0.10,,"Cashier (USB)
Bar (192.168.0.21)
Kitchen (192.168.0.20)",,DP02256A10509,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
11/21/2025 14:30:46,Ayatt,Sunmi Device,Concierge,192.168.0.200,,"Cashier (Bluetooth)
Kitchen (192.168.0.210)",,VC19253T20013,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
11/27/2025 13:12:35,MammaBunz,Sunmi Device,pending wifi,pending wifi,,Printer (Bluetooth),,VC19253S20240,,"Printer Connection, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/3/2025 11:44:21,Restoran Ayam Geprek Asli,Sunmi Device,Ethernet,192.168.0.150,,"Cashier (USB)
Kitchen (192.168.0.160)",,DP02256A10534,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/4/2025 15:40:11,Selero Kampung,Sunmi Device,Eternal ,192.168.1.150,,"Cashier (USB)
Bar (192.168.1.160)",,DP02256A10190,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/5/2025 11:20:30,Buah,Window,Ethernet,192.168.100.28,,"Printer 1 (USB)
Printer 2 (USB)","Install Anydesk, Turn off Firewall",,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Close Counter (Report)"
12/5/2025 13:58:46,Buah,Window,Ethernet,192.168.100.28,,"Printer 1 (USB)
Printer 2 (USB)","Install Anydesk, Turn off Firewall",,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Close Counter (Report)"
12/5/2025 14:41:43,Teahaus,Sunmi Device,Ethernet ,10.28.2.150,,"Cashier (USB)
Bar (10.28.2.160)
Kitchen (10.28.2.161)",,DP02256A10151,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/6/2025 12:11:40,Lidah Manja,Sunmi Device,sinopal,192.168.50.150,,"Cashier (192.168.50.249)
Kitchen (192.168.50.247)",,DP02256A10156,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/12/2025 10:55:02,Ayam Gepuk Tok Mat Bangi,Sunmi Device,Ethernet ,192.168.0.200,1302903252,"Cashier (USB)
Kitchen (192.168.0.201)
Bar (192.168.0.202)
Platform (192.168.0.203)",,DP02256A10123,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item / Pax, Customer Display, Close Counter (Report)"
12/15/2025 15:02:34,Sudu Kayu,Sunmi Device,sudukayu,192.168.0.50,,"Cashier (USB)
Built-in (Bluetooth)
Kitchen (192.168.0.51)",,"Sunmi D3 Pro - DP02256A11349, Sunmi V3 Mix - VC19253W20497",,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/19/2025 12:16:51,Selera Mawar Utara,Sunmi Device,Sim Card (Pending),Pending,,Cashier (Bluetooth),,VC19253W20452,,"Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Close Counter (Report)"
12/22/2025 9:55:48,Ayam Gepuk Tok Mat Cheras Trader Square,Sunmi Device,Ethernet,192.168.0.200,,"Cashier (Bluetooth)
Kitchen (192.168.0.201)
Bar (192.168.0.205)",,VC19253W20440,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Enable QR Order / Delivery Platform, Close Counter (Report)"
12/29/2025 11:27:33,Ayam Gepuk Presiden,Sunmi Device,AYAM_GEPUK_PRESIDENT_2.4G,192.168.0.211,,"Kitchen Printer 192.168.0.212
Bar Printer 192.168.0.213",,DP02256GJ0089,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/7/2026 13:03:52,Santai D'Zara,Sunmi Device,santaidzara_2.4 GHz,192.168.0.200,1511829110,"Cashier (USB) 
Kitchen (192.168.0.221)
Bar (192.168.0.224)
Roti (Bluetooth)",,Enable Remote Assistance,DP02256GJ0179,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
